Sample_ID,Sample_type,Site,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Sample_date,Shoot_Length,Leaf_Width,No_Leaves,Salinity,Temperature,Dataset,Dataset_short,Dislodgment_method,Area,Country,LibrarySize_16S,Bathymetry,Richness_16S,Shannon_16S,Orbital_Velocity_from_Max,Orbital_Velocity_from_Mean,Orbital_Velocity
SHV-SGO-3,old_leaf,Herrvik,20.02.2020,246,September,Autumn,2,57.4365,18.902,03.09.2019,34,2,NA,NA,8,Seagrass_Vibrio,SV,whole_leaf,Gotland,Sweden,101595,-3.1,217,2.106511333,0.3259326,0.391836,Growing Season
SHV-SGO-4,old_leaf,Herrvik,20.02.2020,246,September,Autumn,2,57.4365,18.902,03.09.2019,31,2,NA,NA,8,Seagrass_Vibrio,SV,whole_leaf,Gotland,Sweden,22890,-3.1,105,1.123253262,0.3259326,0.391836,Growing Season
SHV-SGY-3,young_leaf,Herrvik,06.02.2020,246,September,Autumn,2,57.4365,18.902,03.09.2019,34,2,NA,NA,8,Seagrass_Vibrio,SV,whole_leaf,Gotland,Sweden,52777,-3.1,168,2.431649807,0.3259326,0.391836,Growing Season
SHV-SGY-4,young_leaf,Herrvik,20.02.2020,246,September,Autumn,2,57.4365,18.902,03.09.2019,31,2,NA,NA,8,Seagrass_Vibrio,SV,whole_leaf,Gotland,Sweden,31543,-3.1,118,2.010606476,0.3259326,0.391836,Growing Season
H4-SGO-1,old_leaf,Libben,30.11.2020,196,July,Summer,3.1,54.600764,13.153746,14.07.2020,45,4,6,9.5,NA,Salinity_Gradient,SG,whole_leaf,Western Pomerania Lagoon National Park,Germany,105731,-3.42,162,1.761970824,0.5494925,0.7027595,Growing Season
KH-SGO-1,old_leaf,Heidkate,30.11.2020,176,June,Summer,1.75,54.436383,10.323491,24.06.2020,37,4,7,14,NA,Salinity_Gradient,SG,whole_leaf,KielFjord,Germany,37225,-1.73,283,3.239308247,0.639884,0.7792914,Growing Season
SR1-SGO-3,old_leaf,Having,16.12.2020,199,July,Summer,2.4,54.348635,13.676224,17.07.2020,102,3,5,9,NA,Salinity_Gradient,SG,whole_leaf,Greifswald Bay,Germany,43760,-2.72,329,3.551736865,0.6341661,0.784072,Growing Season
V1-SGY-3,young_leaf,Vilm1,16.12.2020,195,July,Summer,1.65,54.314936,13.514327,13.07.2020,41,NA,NA,8.5,NA,Salinity_Gradient,SG,whole_leaf,Mecklenburg Bay,Germany,35801,-2.2,153,3.532183966,0.8780277,1.1106649,Growing Season
B4-SGO-3,old_leaf,Lubmin,15.12.2020,262,September,Autumn,2.15,54.6,13.602617,18.09.2020,110,3,4,7,NA,Salinity_Gradient,SG,whole_leaf,Western Pomerania Lagoon National Park,Germany,56412,-23.27,470,4.058720246,0.3009123,0.3777391,Growing Season
KF-YPL-4d,young_leaf,Falckenstein,14.01.2021,175,June,Summer,2.9,54.394034,10.191501,23.06.2020,50,3,NA,14,NA,Salinity_Gradient,SG,whole_leaf,KielFjord,Germany,34487,-1.55,486,4.449779899,0.8469179,1.1165314,Growing Season
PO-SGO-2,old_leaf,Poel,28.01.2021,176,June,Summer,1,54.012013,11.414744,24.06.2020,28,4,10,10,NA,Salinity_Gradient,SG,whole_leaf,Mecklenburg Bay,Germany,34558,-0.27,538,4.912694737,1.4558489,1.6721945,Growing Season
H4-SGY-1,young_leaf,Libben,30.11.2020,196,July,Summer,3.1,54.600764,13.153746,14.07.2020,46,NA,NA,9.5,NA,Salinity_Gradient,SG,whole_leaf,Western Pomerania Lagoon National Park,Germany,125311,-3.42,142,2.623220068,0.5494925,0.7027595,Growing Season
KH-SGY-1,young_leaf,Heidkate,09.11.2020,176,June,Summer,1.75,54.436383,10.323491,24.06.2020,40,4,5,14,NA,Salinity_Gradient,SG,whole_leaf,KielFjord,Germany,19474,-1.73,137,2.937297933,0.639884,0.7792914,Growing Season
SR1-SGY-3,young_leaf,Having,16.12.2020,199,July,Summer,2.4,54.348635,13.676224,17.07.2020,87,4,4,9,NA,Salinity_Gradient,SG,whole_leaf,Greifswald Bay,Germany,32876,-2.72,367,4.130293182,0.6341661,0.784072,Growing Season
B4-SGY-3,young_leaf,Lubmin,15.12.2020,262,September,Autumn,2.15,54.6,13.602617,18.09.2020,136,4,NA,7,NA,Salinity_Gradient,SG,whole_leaf,Western Pomerania Lagoon National Park,Germany,62339,-23.27,96,1.288251845,0.3009123,0.3777391,Growing Season
KF-YPL-3d,young_leaf,Falckenstein,14.01.2021,175,June,Summer,2.9,54.394034,10.191501,23.06.2020,NA,NA,NA,14,NA,Salinity_Gradient,SG,whole_leaf,KielFjord,Germany,36680,-1.55,562,4.870172121,0.8469179,1.1165314,Growing Season
PO-SGY-2,young_leaf,Poel,08.09.2020,176,June,Summer,1,54.012013,11.414744,24.06.2020,22,5,14,10,NA,Salinity_Gradient,SG,whole_leaf,Mecklenburg Bay,Germany,9328,-0.27,157,3.434374223,1.4558489,1.6721945,Growing Season
H1-SGO-1,old_leaf,Schaprode1,11.12.2020,196,July,Summer,2.7,54.514502,13.138693,14.07.2020,50,4,5,9,NA,Salinity_Gradient,SG,whole_leaf,Western Pomerania Lagoon National Park,Germany,31416,-2.08,351,4.212064493,0.911802,1.1532844,Growing Season
KB-SGO-1,old_leaf,Badeanstalt,15.12.2020,175,June,Summer,2.4,54.349571,10.148966,23.06.2020,37,5,NA,14,NA,Salinity_Gradient,SG,whole_leaf,KielFjord,Germany,79149,-2.97,345,3.841256982,1.0559041,1.5667877,Growing Season
